Lancôme|1935|www.lancome.com
Estée Lauder|1946|www.esteelauder.com
tarte|2000|www.tartecosmetics.com
bareMinerals|1976|www.bareminerals.com
Smashbox|1996|www.smashbox.com
Make Up For Ever|1984|www.makeupforever.com
Nars|1994|www.narscosmetics.com
MAC|1984|www.maccosmetics.com
Laura Mercier|1996|www.lauramercier.com
BECCA|2001|www.beccacosmetics.com
Bobbi Brown|1991|www.bobbibrowncosmetics.com
Givenchy|1952|www.givenchybeauty.com
CLINIQUE|1968|www.clinique.com
Giorgio Armani Beauty|1975|www.giorgioarmanibeauty-usa.com
IT Cosmetics|2008|www.itcosmetics.com
Urban Decay|1996|www.urbandecay.com
Benefit Cosmetics|1976|www.benefitcosmetics.com
Max Factor|1909|www.maxfactor.com
Bourjois|1863|www.bourjois.com
AMOREPACIFIC|1945|www.amorepacific.com
